Data Last Updated on:;10 Oct 2020 (This data may be subject to revisions);;;;;;;;;;;;;;;;;;;;
COUNTRY:;Kazakhstan;;;;;;;;;;;;;;;;;;;;
COMMODITY:;Wheat;;;;;;;;;;;;;;;;;;;;
SOURCE:;USDA-PSD (Distributed by AMIS Statistics);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Supply and Demand Balance;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
National Marketing Year (NMY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Total Supply;Million tonnes;10,16;14,51;17,66;16,97;15,81;17,27;19,91;20,16;17,40;20,75;14,44;25,62;16,03;16,93;15,62;17,10;17,85;18,44;16,58;13,69
Opening Stocks;Million tonnes;1,08;1,79;4,93;5,42;5,85;6,03;6,42;3,65;4,74;3,65;4,79;2,88;6,18;2,95;2,03;3,28;2,79;3,54;2,54;1,68
Production;Million tonnes;9,07;12,70;12,70;11,53;9,93;11,19;13,46;16,46;12,53;17,05;9,63;22,73;9,84;13,94;13,00;13,75;14,99;14,80;13,95;11,45
Imports (NMY);Million tonnes;0,01;0,01;0,02;0,01;0,02;0,04;0,03;0,03;0,12;0,04;0,01;0,01;0,02;0,04;0,60;0,07;0,08;0,10;0,09;0,55
Total Utilization;Million tonnes;10,16;14,51;17,66;16,97;15,81;17,27;19,91;20,16;17,40;20,75;14,44;25,62;16,03;16,93;15,62;17,10;17,85;18,44;16,58;13,69
Domestic Utilization;Million tonnes;4,40;5,60;6,00;7,00;6,70;6,90;8,10;7,50;7,60;7,70;6,70;7,60;6,80;6,80;6,80;6,90;6,90;6,90;6,60;6,30
Food/Seeds/Industrial Use;Million tonnes;3,30;3,80;4,00;4,10;4,70;4,70;5,10;5,10;5,10;5,10;4,70;5,00;4,80;4,80;4,80;4,80;4,80;4,80;4,80;4,80
Feed Dom. Consumption;Million tonnes;1,10;1,80;2,00;2,90;2,00;2,20;3,00;2,40;2,50;2,60;2,00;2,60;2,00;2,00;2,00;2,10;2,10;2,10;1,80;1,50
Exports (NMY);Million tonnes;3,97;3,97;6,23;4,12;3,07;3,94;8,15;7,91;6,15;8,25;4,86;11,84;6,29;8,10;5,54;7,41;7,41;9,00;8,30;6,70
Closing Stocks;Million tonnes;1,79;4,93;5,42;5,85;6,03;6,42;3,65;4,74;3,65;4,79;2,88;6,18;2,95;2,03;3,28;2,79;3,54;2,54;1,68;0,69
UNBALANCED;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
;;;;;;;;;;;;;;;;;;;;;
International Trade Year (ITY):;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Imports (ITY);Million tonnes;0,01;0,01;0,02;0,01;0,01;0,04;0,02;0,03;0,11;0,05;0,01;0,01;0,02;0,04;0,60;0,07;0,08;0,10;0,09;0,54
Exports (ITY);Million tonnes;3,97;3,97;6,23;4,21;3,03;3,81;8,08;8,18;5,70;7,87;5,51;11,07;6,80;8,00;5,51;7,41;7,26;8,52;8,78;6,89
;;;;;;;;;;;;;;;;;;;;;
Others;;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13;2013/14;2014/15;2015/16;2016/17;2017/18;2018/19;2019/20
Area Harvested;Million Ha;10,05;10,76;11,65;11,25;11,78;11,81;11,86;12,68;12,90;14,28;13,13;13,69;12,40;12,95;11,92;11,57;12,37;11,91;11,35;11,34
Yield;Tonnes/Ha;0,90;1,18;1,08;1,02;0,84;0,94;1,13;1,29;0,97;1,19;0,73;1,66;0,79;1,08;1,09;1,19;1,21;1,24;1,23;1,01
